   项目,   ,,   地址,,,说明,,
   输出AB 线电压,,,    0x6020,,,"I16 ，  只读 ，  单位 V ，放大 10 倍（比如电网电压 L1 为
400V ，读取数据为 4000（0x0FA0）  ）",,
   输出BC 线电压,,,    0x6021,,,I16 ，  只读，单位 V ，放大 10 倍；,,
   输出CA 线电压,,,    0x6022,,,I16 ，  只读，单位 V ，放大 10 倍；,,
   输出A 相电压,,,    0x6023,,,I16 ，  只读，单位 V ，放大 10 倍；,,
   输出B 相电压,,,    0x6024,,,I16 ，  只读，单位 V ，放大 10 倍；,,
   输出C 相电压,,,    0x6025,,,I16 ，  只读，单位 V ，放大 10 倍；,,
   输出A 相电流,,,    0x6026,,,I16 ，  只读，单位 A ，放大 10 倍；,,
   输出B 相电流,,,    0x6027,,,I16 ，  只读，单位 A ，放大 10 倍；,,
   输出C 相电流,,,    0x6028,,,I16 ，  只读，单位 A ，放大 10 倍；,,
   电感 A 相电流,,,    0x6029,,,I16 ，  只读，单位 A ，放大 10 倍；,,
   电感 B 相电流,,,    0x602A,,,I16 ，  只读，单位 A ，放大 10 倍；,,
   电感 C 相电流,,,    0x602B,,,I16 ，  只读，单位 A ，放大 10 倍；,,
   电网频率,   ,,    0x602C,,,I16 ，  只读，单位 Hz ，放大 100 倍；,,
   当前电网相序,   ,,    0x602D,,,I16 ，  只读，0 正序 ，  1 负序；,,
    PCS 降额系数,,,    0x602E,,,"I16 ，  只读 ，  正常：  4096；（ 3686 表示降额 0.9, 降额
3686/4096=0.9）--适用于 5.13.0 及以上软件版本",,
    PCS 降额标志,,,    0x602F,,,"I16 ，只读 ，0 ：正常；  1 ：IGBT 过温降额 ，2 ，环境温度
降额，3：IGBT 、环境温度都降额；--适用于 5.13.0 及以
上软件版本",,
   交流 A 相有功功率,,,    0x6030,,,"I16 ，  只读，单位 kW ，放大 10 倍；（正表示放电功率；
负表示充电功率）",,
