Model →,,100K-One,,Bus:Battery,Bus:Battery,,,*100K-One*,*Bus:Battery*,*Bus:Battery*,*NONONO*
,,*,,,,,NONONO,,,,
Address,Size,Access,Type,Register Name,寄存器名称,"Define & Unit
Fault: pcs shutdown
Failed: pcs shutdown and need check 
Alarm: pcs still work
Switch: pcs turn to off-grid","定义 & 单位
故障: pcs 关机
失效: pcs关机且需排查
告警: pcs 仍运行
切换: pcs 转离网",Comments,,,
0,11word,RO,string,Serial Number,序列号,String,字符串,E.g: ZX0P600443411907030001,,,
11,21word,RO,string,Version model,版本型号,String,字符串,E.g: S1000M100-V1000D100-V1000D100-V1000D100-00,,,
32,bit0,RO,bitfield,System Fault status,系统故障状态,"1- fault, 0- normal","1- 故障, 0- 正常",all module can not run,,,
32,bit1,RO,bitfield,System Alarm status,系统告警状态,"1- alarm, 0- normal","1- 告警, 0- 正常",some module still run,,,
32,bit2,RO,bitfield,System Derating status,系统降额状态,"1- derating, 0- normal","1- 降额, 0- 正常",system can not run at full capacity,,,
32,bit3,RO,bitfield,System Booting status,系统启动中状态,"1- booting, 0- false","1- 启动中, 0- 否",some module is booting,,,
32,bit4,RO,bitfield,System Grid-tied status,系统并网状态,"1- grid-tied, 0- false","1- 并网, 0- 否",,,,
32,bit5,RO,bitfield,System Off-grid status,系统离网状态,"1- off gird, 0- false","1- 离网, 0- 否",,,,
32,bit9,RO,bitfield,System Failed status,系统失效状态,"1- failed, 0- normal",1-失效，0-正常,all module failed,,,
33,bit0,RO,bitfield,System ON/OFF status,系统启停状态,"1- running, 0- stop","1- 运行, 0- 停止",,,,
33,bit1,RO,bitfield,System Standby status,系统待机状态,"1- standby, 0- false","1- 待机, 0- 否",,,,
33,bit2,RO,bitfield,System Charging status,系统充电状态,"1- charging, 0- false","1- 充电, 0- 否",,,,
33,bit3,RO,bitfield,System Discharging status,系统放电状态,"1- discharging, 0- false","1- 放电, 0- 否",,,,
33,bit4,RO,bitfield,System Fully charged status,系统充满状态,"1- true, 0- false","1- 是, 0- 否",only for battery access to the DC side,,,
33,bit5,RO,bitfield,System Totally discharged status,系统放空状态,"1- true, 0- false","1- 是, 0- 否",only for battery access to the DC side,,,
33,bit6,RO,bitfield,System Constant Volt topping charging,系统均充状态,"1- true, 0- false","1- 是, 0- 否",only for battery access to the DC side,,,
106,bit0,RO,bitfield,EPO,紧急停机,1- Fault，0- Normal,1- 故障，0- 正常,,,,
106,bit1,RO,bitfield,Calibration parameter abnormal,校准参数异常,1- Alarm，0- Normal,1- 告警，0- 正常,,,,
106,bit2,RO,bitfield,Sampling zero abnormal,采样零点异常,1- Alarm，0- Normal,1- 告警，0- 正常,,,,
106,bit3,RO,bitfield,Flash abnormal,Flash异常,1- Failed，0- Normal,1- 失效，0- 正常,,,,
106,bit4,RO,bitfield,DSP initializing abnormal,DSP初始化异常,1- Fault，0- Normal,1- 故障，0- 正常,,,,
106,bit5,RO,bitfield,Monitor initializing abnormal,监控初始化异常,1- Alarm，0- Normal,1- 告警，0- 正常,,,,
106,bit6,RO,bitfield,DSP version abnormal,DSP版本异常,1- Fault，0- Normal,1- 故障，0- 正常,,,,
106,bit7,RO,bitfield,CPLD version abnormal,CPLD版本异常,1- Fault，0- Normal,1- 故障，0- 正常,,,,
106,bit8,RO,bitfield,Hardware version abnormal,硬件版本异常,1- Fault，0- Normal,1- 故障，0- 正常,,,,
106,bit9,RO,bitfield,ID reduplicated fault,重号故障,1- Fault，0- Normal,1- 故障，0- 正常,,,,
106,bit10,RO,bitfield,Master Conflict Fault,主机冲突故障,1- Fault，0- Normal,1- 故障，0- 正常,,,,
106,bit11,RO,bitfield,DSP Parameter mismatch,DSP参数设置不匹配,1- Fault，0- Normal,1- 故障，0- 正常,,,,
106,bit12,RO,bitfield,Monitor Parameter mismatch,监控参数设置不匹配,1- Alarm，0- Normal,1- 告警，0- 正常,,,,
106,bit13,RO,bitfield,Drm0 Shutdown,Drm0 关机,1- Fault，0- Normal,1- 故障，0- 正常,,,,
107,bit1,RO,bitfield,CAN A comm. Fault,CANA通信故障,1- Fault，0- Normal,1- 故障，0- 正常,,,,
107,bit8,RO,bitfield,EMS comm. connection timeout,EMS通信连接超时,1- Fault，0- Normal,1- 故障，0- 正常,,,,
107,bit9,RO,bitfield,BMS comm. connection timeout,BMS通信连接超时,1- Fault，0- Normal,1- 故障，0- 正常,,,,
107,bit11,RO,bitfield,Grid ammeter comm. timeout,电网电表通信超时,1- Alarm，0- Normal,1- 告警，0- 正常,,,,
108,bit1,RO,bitfield,Module Fan fault 1,模块风扇故障1,1- Failed，0- Normal,1- 失效，0- 正常,,,,
108,bit11,RO,bitfield,Auxiliary power fault 1,辅助电源故障1,1- Failed，0- Normal,1- 失效，0- 正常,,,,
108,bit12,RO,bitfield,Auxiliary power fault 2,辅助电源故障2,1- Failed，0- Normal,1- 失效，0- 正常,,,,
108,bit13,RO,bitfield,Auxiliary power fault 3,辅助电源故障3,1- Failed，0- Normal,1- 失效，0- 正常,,,,
109,bit1,RO,bitfield,Module over temperature 1,模块过温1,1- Fault，0- Normal,1- 故障，0- 正常,,,,
109,bit2,RO,bitfield,Module over temperature 2,模块过温2,1- Fault，0- Normal,1- 故障，0- 正常,,,,
109,bit9,RO,bitfield,Ambient overtemp. fault ,环境过温故障,1- Fault，0- Normal,1- 故障，0- 正常,,,,
109,bit13,RO,bitfield,Ambient overtemp. derating,环境过温降额,1- Alarm，0- Normal,1- 告警，0- 正常,,,,
110,bit11,RO,bitfield,Battery under energy,电池电量不足,1- Fault，0- Normal,1- 故障，0- 正常,,,,
111,bit0,RO,bitfield,Bms dry contact fault,BMS干节点故障,1- Fault，0- Normal,1- 故障，0- 正常,,,,
112,bit9,RO,bitfield,Module current limit alarm 1,模块限流告警1,1- Alarm，0- Normal,1- 告警，0- 正常,,,,
112,bit10,RO,bitfield,Module current limit alarm 2,模块限流告警2,1- Alarm，0- Normal,1- 告警，0- 正常,,,,
112,bit11,RO,bitfield,Module current limit alarm 3,模块限流告警3,1- Alarm，0- Normal,1- 告警，0- 正常,,,,
112,bit12,RO,bitfield,Module current limit alarm 4,模块限流告警4,1- Alarm，0- Normal,1- 告警，0- 正常,,,,
112,bit13,RO,bitfield,Module current limit alarm 5,模块限流告警5,1- Alarm，0- Normal,1- 告警，0- 正常,,,,
112,bit14,RO,bitfield,Module current limit alarm 6,模块限流告警6,1- Alarm，0- Normal,1- 告警，0- 正常,,,,
112,bit15,RO,bitfield,Module current limit alarm 7,模块限流告警7,1- Alarm，0- Normal,1- 告警，0- 正常,,,,
113,bit1,RO,bitfield,Module current abnormal 1,模块电流异常1,1- Fault，0- Normal,1- 故障，0- 正常,,,,
113,bit2,RO,bitfield,Module current abnormal 2,模块电流异常2,1- Fault，0- Normal,1- 故障，0- 正常,,,,
113,bit3,RO,bitfield,Module current abnormal 3,模块电流异常3,1- Fault，0- Normal,1- 故障，0- 正常,,,,
113,bit4,RO,bitfield,Module current abnormal 4,模块电流异常4,1- Fault，0- Normal,1- 故障，0- 正常,,,,
113,bit5,RO,bitfield,Module current abnormal 5,模块电流异常5,1- Fault，0- Normal,1- 故障，0- 正常,,,,
113,bit6,RO,bitfield,Module current abnormal 6,模块电流异常6,1- Fault，0- Normal,1- 故障，0- 正常,,,,
113,bit7,RO,bitfield,Module current abnormal 7,模块电流异常7,1- Fault，0- Normal,1- 故障，0- 正常,,,,
114,bit0,RO,bitfield,DC input over voltage,直流输入过压,1- Fault，0- Normal,1- 故障，0- 正常,,,,
114,bit1,RO,bitfield,DC input under voltage,直流输入欠压,1- Fault，0- Normal,1- 故障，0- 正常,,,,
114,bit3,RO,bitfield,DC overload alarm,直流过载报警,1- Alarm，0- Normal,1- 告警，0- 正常,,,,
114,bit4,RO,bitfield,DC overload timeout,直流过载超时,1- Fault，0- Normal,1- 故障，0- 正常,,,,
114,bit5,RO,bitfield,DC input soft start failed,直流输入软启动失败,1- Failed，0- Normal,1- 失效，0- 正常,,,,
114,bit6,RO,bitfield,DC input galvanic-break-device open circuit,直流输入电控开关开路,1- Failed，0- Normal,1- 失效，0- 正常,galvanic break device: Relay or Contactor or Motor-driven,,,
114,bit7,RO,bitfield,DC input galvanic-break-device short circuit,直流输入电控开关短路,1- Failed，0- Normal,1- 失效，0- 正常,galvanic break device: Relay or Contactor or Motor-driven,,,
114,bit9,RO,bitfield,DC input soft galvanic-break-device fault,直流输入软启电控开关故障,1- Failed，0- Normal,1- 失效，0- 正常,galvanic break device: Relay or Contactor or Motor-driven,,,
115,bit0,RO,bitfield,DC bus over voltage,直流母线过压,1- Fault，0- Normal,1- 故障，0- 正常,,,,
115,bit1,RO,bitfield,DC bus under voltage,直流母线欠压,1- Fault，0- Normal,1- 故障，0- 正常,,,,
115,bit2,RO,bitfield,DC bus voltage unbalanced,直流母线电压不平衡,1- Fault，0- Normal,1- 故障，0- 正常,,,,
115,bit3,RO,bitfield,DC bus soft start failed,直流母线软启动失败,1- Failed，0- Normal,1- 失效，0- 正常,,,,
115,bit9,RO,bitfield,BMS shutdown fault,BMS关机故障,1- Fault，0- Normal,1- 故障，0- 正常,,,,
120,bit0,RO,bitfield,AC bus over voltage,交流母线过压,1- Fault，0- normal,1- 故障，0- 正常,,,,
120,bit1,RO,bitfield,AC bus under voltage,交流母线欠压,1- Fault，0- Normal,1- 故障，0- 正常,,,,
120,bit2,RO,bitfield,AC bus over frequency,交流母线过频,1- Fault，0- Normal,1- 故障，0- 正常,,,,
120,bit3,RO,bitfield,AC bus under frequency,交流母线欠频,1- Fault，0- Normal,1- 故障，0- 正常,,,,
120,bit4,RO,bitfield,AC bus phase reversed,交流母线反序,1- Fault，0- Normal,1- 故障，0- 正常,,,,
120,bit5,RO,bitfield,AC bus voltage asymmetric,交流母线电压不平衡,1- Fault，0- Normal,1- 故障，0- 正常,,,,
120,bit6,RO,bitfield,AC bus voltage abnormal,交流母线电压异常,1- Fault，0- Normal,1- 故障，0- 正常,,,,
120,bit7,RO,bitfield,AC bus phase lost,交流母线缺相,1- Fault，0- Normal,1- 故障，0- 正常,,,,
120,bit8,RO,bitfield,Islanding protection,孤岛保护,1- Fault，0- Normal,1- 故障，0- 正常,,,,
120,bit11,RO,bitfield,Ac overload alarm,交流过载报警,1- Alarm，0- Normal,1- 告警，0- 正常,,,,
120,bit12,RO,bitfield,Ac overload timeout,交流过载超时,1- Fault，0- Normal,1- 故障，0- 正常,,,,
120,bit13,RO,bitfield,Ac bus connection forbidden,交流母线禁止接入,1- Fault，0- Normal,1- 故障，0- 正常,,,,
121,bit1,RO,bitfield,Off-grid Volt oscillation,离网电压震荡,1- Fault，0- Normal,1- 故障，0- 正常,,,,
121,bit6,RO,bitfield,On/Off-grid toggling error,并离网切换错误,1- Fault，0- Normal,1- 故障，0- 正常,,,,
121,bit7,RO,bitfield,AC soft start failed,交流软启动失败,1- Failed，0- Normal,1- 失效，0- 正常,,,,
121,bit8,RO,bitfield,AC galvanic-break-device open circuit,交流电控开关开路,1- Failed，0- Normal,1- 失效，0- 正常,galvanic break device: Relay or Contactor or Motor-driven,,,
121,bit9,RO,bitfield,AC galvanic-break-device short circuit,交流电控开关短路,1- Failed，0- Normal,1- 失效，0- 正常,galvanic break device: Relay or Contactor or Motor-driven,,,
156,1word,RO,int16,Module temperature,模块温度,1°C,1°C,Showing the highest heatsink of the modules,,,
157,1word,RO,int16,Ambient temperature,环境温度,1°C,1°C,,,,
159,1word,RO,uint16,Available active power capacity,可用有功容量,0.1kW,0.1kW,including power derating and P/Q priority,,,
164,1word,RO,int16,Total PF of AC bus ,交流母线总功率因数,0.01,0.01,,,,
165,1word,RO,int16,L1 PF of AC bus ,交流母线A相功率因数,0.01,0.01,,,,
166,1word,RO,int16,L2 PF of AC bus ,交流母线B相功率因数,0.01,0.01,,,,
167,1word,RO,int16,L3 PF of AC bus ,交流母线C相功率因数,0.01,0.01,,,,
168,1word,RO,int16,Total active power of AC bus,交流母线总有功功率,0.1kW,0.1kW,,,,
169,1word,RO,int16,L1 active power of AC bus,交流母线A相有功功率,0.1kW,0.1kW,,,,
170,1word,RO,int16,L2 active power of AC bus,交流母线B相有功功率,0.1kW,0.1kW,,,,
171,1word,RO,int16,L3 active power of AC bus,交流母线C相有功功率,0.1kW,0.1kW,,,,
172,1word,RO,int16,Total reactive power of AC bus,交流母线总无功功率,0.1kVAr,0.1kVAr,,,,
173,1word,RO,int16,L1 reactive power of AC bus,交流母线A相无功功率,0.1kVAr,0.1kVAr,,,,
174,1word,RO,int16,L2 reactive power of AC bus,交流母线B相无功功率,0.1kVAr,0.1kVAr,,,,
175,1word,RO,int16,L3 reactive power of AC bus,交流母线C相无功功率,0.1kVAr,0.1kVAr,,,,
176,1word,RO,int16,Total apparent power of AC bus,交流母线总视在功率,0.1kVA,0.1kVA,,,,
177,1word,RO,int16,L1 apparent power of AC bus,交流母线A相视在功率,0.1kVA,0.1kVA,,,,
178,1word,RO,int16,L2 apparent power of AC bus,交流母线B相视在功率,0.1kVA,0.1kVA,,,,
179,1word,RO,int16,L3 apparent power of AC bus,交流母线C相视在功率,0.1kVA,0.1kVA,,,,
180,1word,RO,int16,L1 current of AC bus,交流母线A相电流,0.1A,0.1A,,,,
181,1word,RO,int16,L2 current of AC bus,交流母线B相电流,0.1A,0.1A,,,,
182,1word,RO,int16,L3 current of AC bus,交流母线C相电流,0.1A,0.1A,,,,
183,1word,RO,uint16,AC bus frequency,交流母线频率,0.01Hz,0.01Hz,,,,
184,1word,RO,uint16,L1-L2 voltage of AC bus,交流母线AB线电压,0.1V,0.1V,,,,
185,1word,RO,uint16,L2-L3 voltage of AC bus,交流母线BC线电压,0.1V,0.1V,,,,
186,1word,RO,uint16,L3-L1 voltage of AC bus,交流母线CA线电压,0.1V,0.1V,,,,
466,1word,RO,uint16,Accumulative Discharged energy through AC port Higher 2 bytes,累计交流放电电量 高两字节,0.1kWh,0.1kWh,,,,
467,1word,RO,uint16,Accumulative Discharged energy through AC port Lower 2 bytes,累计交流放电电量 低两字节,0.1kWh,,0.1kWh,,,
468,1word,RO,uint16,Accumulative Charged energy through AC port Higher 2 bytes,累计交流充电电量 高两字节,0.1kWh,0.1kWh,,,,
469,1word,RO,uint16,Accumulative Charged energy through AC port Lower 2 bytes,累计交流充电电量 低两字节,0.1kWh,0.1kWh,,,,
474,1word,RO,uint16,Daily discharged energy through AC port,当天交流放电电量,1kWh,1kWh,,,,
475,1word,RO,uint16,Daily charged energy through AC port,当天交流充电电量,1kWh,1kWh,,,,
491,1word,RO,int16,DC power,直流功率,0.1kW,0.1kW,491~520 as Str.01 Message when Multi-string,,,
492,1word,RO,int16,DC current,直流电流,0.1A,0.1A,491~520 as Str.01 Message when Multi-string,,,
493,1word,RO,int16,DC input voltage,直流输入电压,0.1V,0.1V,491~520 as Str.01 Message when Multi-string,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
